d,v,sed,n,n_positive,n_negative,study,d_original
0.3731,0.020428495,0.142928287,212,106,106,"Roszowski & Snelbecker, 1990",0.3731
0.627476002,0.28601852,0.534806998,22,14,8,"Rowe & Puto, 1987",0.6522
0.4451,0.051273078,0.226435593,90,45,45,"Schneider, 1992 , Study SR3",0.4451
0.3207,0.049499098,0.222483925,90,45,45,"Schneider, 1992 , Study SR5",0.3207
0.2627,0.048803411,0.220914941,90,45,45,"Schneider, 1992 , Study SR2",0.2627
0.3494,0.049874112,0.223325129,90,45,45,"Schneider, 1992 , Study SR1",0.3494
0.3268,0.049577095,0.222659143,90,45,45,"Schneider, 1992 , Study RR3",0.3268
0.1975,0.048119981,0.219362673,90,45,45,"Schneider, 1992 , Study RR5",0.1975
0.3038,0.049287818,0.222008597,90,45,45,"Schneider, 1992 , Study RR2",0.3038
0.2657,0.048837364,0.22099177,90,45,45,"Schneider, 1992 , Study RR1",0.2657
0.7311,0.015617569,0.124970272,306,153,153,"Sebora & Cornawll, 1995 , Study Pr2",0.7311
0.856092132,0.088998787,0.298326642,63,32,31,"Sitkin & Weingart, 1995 , Study 2",0.8562
1.1109,0.081468992,0.285427736,76,38,38,"Svenson & Benson, 1993 , Study 1",1.1109
1.1541,0.078618392,0.280389711,80,40,40,"Svenson & Benson, 1993 , Study 2",1.1541
0.3322,0.021052646,0.145095298,204,102,102,"Svytanek, 1991",0.3322
0.8384,0.046034165,0.21455574,114,57,57,"Takemura, 1992",0.8384
0.4048,0.050656013,0.225068906,90,45,45,"Takemura, 1994",0.4048
0.4445,0.056672085,0.238058992,82,41,41,"Takemura, 1994 , Study 2",0.4445
0.5952,0.02962222,0.172111065,158,79,79,"Takemura, 1993",0.5952
0.8088,0.017128553,0.130876102,288,144,144,"Tindale, S&s, 1993 , Study indiv",0.8088
1.5378,0.17337309,0.416380935,48,24,24,"Tindale, S & S, 1993 , Study group",1.5378
0.5402,0.015590223,0.124860812,288,144,144,"Tindale, S6S, 1993 , Study ind, pos",0.5402
1.155044847,0.018628612,0.136486671,307,152,155,"Tversky & Kahneman, 1981",1.1551
0.51678361,0.00650259,0.080638638,673,323,350,"VanderPlight &, 1990 , Study 1",0.5172
0.1366,0.013695588,0.117028153,300,150,150,"VanderPlight &Vs, 1990 , Study 2",0.1366
0.645766795,0.043850016,0.209403951,111,60,51,"VanderPlight & Vs, 1990 , Study 3",0.6479
0.55489094,0.012814796,0.113202455,350,176,174,"VanderPlight & Vs 1990 , Study 4",0.5549
1.2168,0.085947886,0.293168705,76,38,38,"VS & VDP, 1995 , Study 4,1",1.2168
0.622776453,0.041866917,0.204614071,115,57,58,"VS & VDP, 1995 , Study 4,2",0.6228
0.2229,0.048373874,0.219940614,90,45,45,"Wang & Johnston, 1995",0.2229
0.6385,0.048913632,0.221164264,100,50,50,"Wang & Johnston, 1995 , Study 2",0.6385
0.4567,0.074562915,0.27306211,64,32,32,"Wang, 1996 , Study 1",0.4567
0.3342,0.056361672,0.237406135,80,40,40,"Wang, 1996 , Study 2",0.3342
0.2492,0.070215926,0.264982884,64,32,32,"Wang, 1996 , Study 3",0.2492
-0.5575,0.047477856,0.217894137,90,45,45,"Wilson, K & S, 1987 , Study 1",-0.5575
0.4136,0.23201697,0.481681388,24,12,12,"Khberger, 1995 , Study 1, adp,",0.4136
0.6772,0.26062068,0.510510226,24,12,12,"Khberger, 1995 , Study 1, pp, r",0.6772
-0.4988,0.1938197,0.440249588,24,12,12,"Khberger, 1995 , Study 1, adp,",-0.4988
0.2532,0.21874107,0.467697626,24,12,12,"Khberger, 1995 , Study 1, pp, o",0.2532
-0.0407,0.34136504,0.584264538,16,8,8,"Khberger, 1995 , Study 2, adp,",-0.0407
1.1591,0.6036433,0.776944847,16,8,8,"Khberger, 1995 , Study 2, pp, r",1.1591
-0.182,0.33021784,0.574645831,16,8,8,"Khberger, 1995 , Study 2, adp,",-0.182
-0.133,0.33368075,0.577651073,16,8,8,"Khberger, 1995 , Study 2, pp, o",-0.133
