d,v,sed,,n,study,d_original
0.95,0.22201455,0.47,2005,30,"Richeson, Trawalter & Shelton (2005), Study ",0.95
0.45,0.059025604,0.24,2007,79,"Schmeichel (2007), Study 1S1",0.45
0.52,0.078763306,0.28,2007,62,"Schmeichel (2007), Study 1S2",0.52
0.51,0.079892434,0.28,2007,61,"Schmeichel (2007), Study 2S1",0.51
0.08,0.071337529,0.27,2007,61,"Schmeichel (2007), Study 2S2",0.08
0.68,0.19467859,0.44,2007,30,"Schmeichel (2007), Study 3",0.68
0.53,0.075025164,0.27,2007,65,"Schmeichel (2007), Study 4",0.53
0.85,0.11503229,0.34,2006,50,"Schmeichel, Demaree, Robinson & Pu (2006), Study ",0.85
0.61,0.086055771,0.29,2009,59,"Schmeichel & Vohs (2009), Study 1",0.61
0.75,0.073028974,0.27,2009,72,"Schmeichel & Vohs (2009), Study 2",0.75
1.61,0.42745593,0.65,2003,24,"Schmeichel, Vohs & Baumeister (2003), Study 1",1.61
0.43,0.13688534,0.37,2003,37,"Schmeichel, Vohs & Baumeister (2003), Study 2",0.43
0.9,0.17323929,0.42,2003,36,"Schmeichel, Vohs & Baumeister (2003), Study 3",0.9
0.41,0.063514017,0.25,2003,73,"Seeley & Gardner (2003), Study 1",0.41
0.47,0.088408031,0.3,2003,55,"Seeley & Gardner (2003), Study 2",0.47
0.65,0.060024071,0.24,2007,83,"Segerstrom & Nes (2007), Study ",0.65
0.67,0.091610305,0.3,2007,57,"Shamosh & Gray (2007), Study ",0.67
0.19,0.04250798,0.21,2009,101,"Shmueli & Prochaska (2009), Study ",0.19
0.47,0.12684178,0.36,2009,40,"Stewart, Wright, Hui & Simmons (2009), Study ",0.47
0.02,0.11227078,0.34,2009,40,"Stillman, Tice, Fincham & Lambert (2009), Study 1",0.02
0.04,0.14016494,0.37,2009,33,"Stillman, Tice, Fincham & Lambert (2009), Study 3",0.04
0.82,0.092240907,0.3,2006,60,"Stucke & Baumeister (2006), Study 1",0.82
0.6,0.081123784,0.28,2006,62,"Stucke & Baumeister (2006), Study 2",0.6
1.2,0.15491225,0.39,2006,45,"Stucke & Baumeister (2006), Study 3",1.2
0.61,0.05089011,0.23,2007,93,"Tice, Baumeister, Shmueli & Muraven (2007), Study 2",0.61
0.83,0.12592676,0.35,2006,45,"Trawalter & Richeson (2006), Study ",0.83
1.07,0.21002521,0.46,2008,33,"Tyler (2008), Study 1",1.07
0.97,0.22431982,0.47,2008,30,"Tyler (2008), Study 2",0.97
1.36,0.27722991,0.53,2008,30,"Tyler (2008), Study 3",1.36
0.58,0.083496548,0.29,2008,60,"Tyler (2008), Study 4",0.58
1.56,0.13448364,0.37,2008,60,"Tyler & Burns (2008), Study 1",1.56
0.99,0.15976486,0.4,2008,40,"Tyler & Burns (2008), Study 2",0.99
1.36,0.47448218,0.69,2009,20,"Tyler & Burns (2009), Study 1",1.36
1.22,0.43758634,0.66,2009,20,"Tyler & Burns (2009), Study 2S1",1.22
1.9,0.64988905,0.81,2009,20,"Tyler & Burns (2009), Study 2S2",2.6
0.44,0.29315266,0.54,2009,20,"Tyler & Burns (2009), Study 2S3",0.44
1.19,0.17727932,0.42,2009,40,"Tyler & Burns (2009), Study 3",1.19
0.58,0.07270021,0.27,2005,68,"Vohs, Baumeister & Ciarocco (2005), Study 1",0.58
0.64,0.088761702,0.3,2005,58,"Vohs, Baumeister & Ciarocco (2005), Study 2",0.64
1.59,0.31568098,0.56,2005,30,"Vohs, Baumeister & Ciarocco (2005), Study 3",1.59
1.06,0.10337449,0.32,2005,60,"Vohs, Baumeister & Ciarocco (2005), Study 4",1.06
0.8,0.17679876,0.42,2005,34,"Vohs, Baumeister & Ciarocco (2005), Study 5",0.8
0.63,0.090144001,0.3,2005,57,"Vohs, Baumeister & Ciarocco (2005), Study 6",0.63
0.7,0.072641142,0.27,2005,71,"Vohs, Baumeister & Ciarocco (2005), Study 7",0.7
0.79,0.18938279,0.44,2005,32,"Vohs, Baumeister & Ciarocco (2005), Study 8",0.79
1.34,0.27414322,0.52,2008,30,"Vohs, Baumeister, Schmeichel, Twenge, Nelson & Tice (2008), Study 1a",1.34
1.01,0.22904815,0.48,2008,30,"Vohs, Baumeister, Schmeichel, Twenge, Nelson & Tice (2008), Study 1b",1.01
0.98,0.28404897,0.53,2008,25,"Vohs, Baumeister, Schmeichel, Twenge, Nelson & Tice (2008), Study 2",0.98
0.99,0.2716065,0.52,2008,26,"Vohs, Baumeister, Schmeichel, Twenge, Nelson & Tice (2008), Study 3",0.99
0.84,0.14842978,0.39,2008,40,"Vohs, Baumeister, Schmeichel, Twenge, Nelson & Tice (2008), Study 4a",0.84
0.93,0.15504742,0.39,2008,40,"Vohs, Baumeister, Schmeichel, Twenge, Nelson & Tice (2008), Study 4b",0.93
0.73,0.081721574,0.29,2008,64,"Vohs, Baumeister, Schmeichel, Twenge, Nelson & Tice (2008), Study 6",0.73
0.96,0.18465927,0.43,2007,35,"Vohs & Faber (2007), Study 1",0.96
1.27,0.096644752,0.31,2007,70,"Vohs & Faber (2007), Study 2",1.27
1.38,0.19650601,0.44,2007,40,"Vohs & Faber (2007), Study 3",1.38
1.4,0.56404883,0.75,2000,18,"Vohs & Heatherton (2000), Study 1",1.4
0.77,0.22114021,0.47,2000,28,"Vohs & Heatherton (2000), Study 2",0.77
0.76,0.16200842,0.4,2000,36,"Vohs & Heatherton (2000), Study 3",0.76
1.07,0.13427009,0.37,2003,48,"Vohs & Schmeichel (2003), Study 3",1.07
0.76,0.11854135,0.34,2003,47,"Vohs & Schmeichel (2003), Study 4",0.76
1.13,0.34380457,0.59,2002,23,"Wallace & Baumeister (2002), Study ",1.13
1.25,0.3293961,0.57,2008,25,"Wan & Sternthal (2008), Study 1",1.25
1.27,0.30143046,0.55,2008,27,"Wan & Sternthal (2008), Study 2",1.27
0.77,0.11091894,0.33,2008,50,"Wan & Sternthal (2008), Study 3",0.77
1.11,0.16035102,0.4,2008,42,"Wan & Sternthal (2008), Study 4",1.11
0.95,0.21311538,0.46,2003,31,"Webb & Sheeran (2003), Study 1",0.95
1.73,0.37359011,0.61,2003,28,"Webb & Sheeran (2003), Study 2",1.73
0.9,0.083147503,0.29,2007,68,"Wheeler, Brinol & Hermann (2007), Study ",0.9
0.3,0.097565055,0.31,2007,48,"Wright et al. (2007), Study 1S1",0.3
0.13,0.098092377,0.31,2007,46,"Wright et al. (2007), Study 1S2",0.13
0.34,0.096447363,0.31,2007,49,"Wright et al. (2007), Study 2S1",0.34
-0.11,0.092362992,0.3,2007,47,"Wright et al. (2007), Study 2S2",-0.57
0.21,0.13191283,0.36,2003,36,"Wright, Martin & Bland (2003), Study S1",0.21
0.21,0.12782104,0.36,2003,37,"Wright, Martin & Bland (2003), Study S2",0.21
-0.11,0.081077956,0.28,2008,53,"Wright , Stewart & Barnett (2008), Study S1",-0.11
0.65,0.098622911,0.31,2008,53,"Wright , Stewart & Barnett (2008), Study S2",0.65
0.65,0.078493938,0.28,2007,65,"Zyphur, Warren, Landis & Thoresen (2007), Study 1",0.65
0.56,0.060426023,0.25,2007,80,"Zyphur, Warren, Landis & Thoresen (2007), Study 2",0.56
