ArticleNo,Relevant?,Strong dummy,Unsure_int,Sure,Study,PubYear,Title,Pblshd?,Publication series name (text),Estimate,SE,t-stats,z-stats,p-value,EstimPage,Estimate,SE,t-stats,z-stats,p-value,Effect on DV + page (text),Shock/change in IV + page (text),EstimPreference,Multiplicator to obtain estimates in points (number),,,lagged (t-1),lagged (t-x)?,Event window start,Event window end,Length of the CAR period,day average,months (0/1),Event Start,Event End,Event_symmetry,Event_start_end_adj,Event Length,0_0,-1_0,0_1,-1_1,-3_0,0_3,-3_3,-7_0,0_7,-7_7,-14_0,0_14,-14_14,-30_0,0_30,-30_30,Type of event,Whatever comes first,Initial press annoucement,Proxy mailing date,Shareholder meeting date,13D/13G filing,Decision,Focus List,LetterDay,ThresholdReach,Objective,All,General undervaluation,Performance + governance,Governance - general,Governance - seats,Governance - rescind,Governance - renumeration,Governance - voting,Governance - other,Capital Structure,Business Strategy,Sale,Other,Outcome,Outcome - success,Outcome - unuccessful,Outvome - NA,DV (text),DV page,Market model,market-adjusted returns,FF,BHAR,Rovnice,Equal-weighted,Value-weighted,IV (text),IV page,Type of activist (text),hedge fund activism,Calpers,Other pension funds/institutions,Coalition of institutions,By individuals,Coalition/group of individuals,All,Group,Type of activism (text),ActivismAll,Proposals,Negotiation,Proxy,Prop_Neg/Proxy,Prop+Neg+Proxy,Litigation,ActivismOther,IV more vars,datastart_y,dataend_y,datastart_mqh,dataend_mqh,Midyear,Length,Sample size,Daily,Monthly,Data source,Region (text),Number of countries (text),Number of firms/events,Subsample specification (text),US,Germany,Europe,Asia,Model and page (text),SE clustered/robust,SE adjustment (text),Control variables + page (text),RoA,Size,Dynamic,Estimation methodology (text),OLS,IV,Panel FE,Otherest,Impact,Cit,First year in GS,Region (text),Midyear,Concatenate,English-origin,French-origin,German-origin,Scandinavian-origin,antidirector rights,Regulatory disclosure threshold,Rule_of_Law,Cap_GDP,HHI,Sarbanes_Oxley
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.38,,0.92,,,8,0.38,,0.92,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.38,0.41304347826086957,0,0,0,0,1,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - Wahal sample je letter date - p4,0,0,0,0,0,0,0,1,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1990,1993,,,1991.5,,13,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,13,Wahal’s (1996) 1990–1993 sample - No repeaat cCalpers targetings,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1991.5,"US1991,5",1,0,0,0,5,0.05,1.592754,68.632224688800875,0.1091327427107503,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.57999999999999996,,1.24,,,8,0.57999999999999996,,1.24,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.57999999999999996,0.46774193548387094,0,0,-1,1,3,,0,-1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - Wahal sample je letter date - p4,0,0,0,0,0,0,0,1,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1990,1993,,,1991.5,,13,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,13,Wahal’s (1996) 1990–1993 sample - No repeaat cCalpers targetings,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1991.5,"US1991,5",1,0,0,0,5,0.05,1.592754,68.632224688800875,0.1091327427107503,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,1.1000000000000001,,1.72,,,8,1.1000000000000001,,1.72,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,1.1000000000000001,0.63953488372093026,0,0,-2,2,5,,0,-2,2,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - Wahal sample je letter date - p4,0,0,0,0,0,0,0,1,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1990,1993,,,1991.5,,13,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,13,Wahal’s (1996) 1990–1993 sample - No repeaat cCalpers targetings,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1991.5,"US1991,5",1,0,0,0,5,0.05,1.592754,68.632224688800875,0.1091327427107503,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,1.91,,2.31,,,8,1.91,,2.31,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,1.91,0.82683982683982682,0,0,-1,5,7,,0,-1,5,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - Wahal sample je letter date - p4,0,0,0,0,0,0,0,1,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1990,1993,,,1991.5,,13,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,13,Wahal’s (1996) 1990–1993 sample - No repeaat cCalpers targetings,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1991.5,"US1991,5",1,0,0,0,5,0.05,1.592754,68.632224688800875,0.1091327427107503,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,-0.28999999999999998,,-0.17,,,8,-0.28999999999999998,,-0.17,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,-0.28999999999999998,1.7058823529411762,0,0,-1,0,2,,0,-1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - Wahal sample je letter date - p4,0,0,0,0,0,0,0,1,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1990,1993,,,1991.5,,9,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,9,Wahal’s (1996) 1990–1993 sample - Clean sample Calpers Targetings,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1991.5,"US1991,5",1,0,0,0,5,0.05,1.592754,68.632224688800875,0.1091327427107503,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,-0.03,,-0.01,,,8,-0.03,,-0.01,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,-0.03,3,0,0,0,0,1,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - Wahal sample je letter date - p4,0,0,0,0,0,0,0,1,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1990,1993,,,1991.5,,9,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,9,Wahal’s (1996) 1990–1993 sample - Clean sample Calpers Targetings,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1991.5,"US1991,5",1,0,0,0,5,0.05,1.592754,68.632224688800875,0.1091327427107503,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,1.44,,1.48,,,8,1.44,,1.48,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,1.44,0.97297297297297292,0,0,-2,2,5,,0,-2,2,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - Wahal sample je letter date - p4,0,0,0,0,0,0,0,1,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1990,1993,,,1991.5,,9,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,9,Wahal’s (1996) 1990–1993 sample - Clean sample Calpers Targetings,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1991.5,"US1991,5",1,0,0,0,5,0.05,1.592754,68.632224688800875,0.1091327427107503,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,2.58,,2.15,,,8,2.58,,2.15,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,2.58,1.2000000000000002,0,0,-1,5,7,,0,-1,5,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - Wahal sample je letter date - p4,0,0,0,0,0,0,0,1,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1990,1993,,,1991.5,,9,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,9,Wahal’s (1996) 1990–1993 sample - Clean sample Calpers Targetings,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1991.5,"US1991,5",1,0,0,0,5,0.05,1.592754,68.632224688800875,0.1091327427107503,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.31,,1.29,,,8,0.31,,1.29,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.31,0.24031007751937983,0,0,-1,0,2,,0,-1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - p4 - WSJ,0,1,0,0,0,0,0,0,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1994,2003,,,1998.5,,82,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,82,PostWahal (1996) 1994–2003 sample - Full sample,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1998.5,"US1998,5",1,0,0,0,5,0.05,1.55842825,148.01498951314318,7.2911983043829481E-2,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.47,,1.5,,,8,0.47,,1.5,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.47000000000000003,0.31333333333333335,0,0,0,0,1,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - p4 - WSJ,0,1,0,0,0,0,0,0,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1994,2003,,,1998.5,,82,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,82,PostWahal (1996) 1994–2003 sample - Full sample,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1998.5,"US1998,5",1,0,0,0,5,0.05,1.55842825,148.01498951314318,7.2911983043829481E-2,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.69,,2.06,,,8,0.69,,2.06,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.69,0.33495145631067957,0,0,-1,1,3,,0,-1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - p4 - WSJ,0,1,0,0,0,0,0,0,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1994,2003,,,1998.5,,82,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,82,PostWahal (1996) 1994–2003 sample - Full sample,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1998.5,"US1998,5",1,0,0,0,5,0.05,1.55842825,148.01498951314318,7.2911983043829481E-2,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.94,,1.57,,,8,0.94,,1.57,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.94000000000000006,0.59872611464968151,0,0,-2,2,5,,0,-2,2,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - p4 - WSJ,0,1,0,0,0,0,0,0,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1994,2003,,,1998.5,,82,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,82,PostWahal (1996) 1994–2003 sample - Full sample,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1998.5,"US1998,5",1,0,0,0,5,0.05,1.55842825,148.01498951314318,7.2911983043829481E-2,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.27,,0.96,,,8,0.27,,0.96,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.27,0.28125000000000006,0,0,-1,0,2,,0,-1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - p4 - WSJ,0,1,0,0,0,0,0,0,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1994,2003,,,1998.5,,68,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,68,PostWahal (1996) 1994–2003 sample - No repeat sample,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1998.5,"US1998,5",1,0,0,0,5,0.05,1.55842825,148.01498951314318,7.2911983043829481E-2,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.48,,1.59,,,8,0.48,,1.59,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.48,0.30188679245283018,0,0,0,0,1,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - p4 - WSJ,0,1,0,0,0,0,0,0,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1994,2003,,,1998.5,,68,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,68,PostWahal (1996) 1994–2003 sample - No repeat sample,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1998.5,"US1998,5",1,0,0,0,5,0.05,1.55842825,148.01498951314318,7.2911983043829481E-2,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,0.71,,1.86,,,8,0.71,,1.86,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,0.71,0.38172043010752682,0,0,-1,1,3,,0,-1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - p4 - WSJ,0,1,0,0,0,0,0,0,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1994,2003,,,1998.5,,68,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,68,PostWahal (1996) 1994–2003 sample - No repeat sample,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1998.5,"US1998,5",1,0,0,0,5,0.05,1.55842825,148.01498951314318,7.2911983043829481E-2,0
20,Odhad,0,0,1,Nelson,2006,The CalPERS effect revisited again,1,Journal of Corporate Finance,1.1100000000000001,,1.51,,,8,1.1100000000000001,,1.51,,,"p7: The results presented in panel A of Table 3 are consistent with those of Wahal (1996), with a significant CAR of 1.72% over the ( 1, +5) window for all CalPERS targetings.",,,0.01,1.1100000000000001,0.73509933774834446,0,0,-2,2,5,,0,-2,2,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p9: announcement of CalPERS targeting a firm - p4 - WSJ,0,1,0,0,0,0,0,0,0,p2: performance and overall governance practices,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,p9: the market model is used to calculate the cumulative abnormal returns using an estimation period beginning  275 trading days and ending  21 trading days relative to the announcement date using the CRSP equally weighted index,p9,1,0,0,0,0,1,0,NA,NA,p1: Calpers,0,1,0,0,0,0,0,0,"p1+2: shareholders proposals, proxy proposals, (corp gov + takeover-related) + direct negotiations",0,0,0,0,1,0,0,0,0,1994,2003,,,1998.5,,68,1,0,"p9: Wahal, 1996 + Wall Street Journal using the ProQuest online databases + Calpers Focus list release",US,1,68,PostWahal (1996) 1994–2003 sample - No repeat sample,1,0,0,0,p8: simple,1,"p9: but assumes no cross-sectional dependence in abnormal returns. t-statistic of Boehmer et al. (1991) uses a standardized residual method as in Patell (1976), but then adds a correction for event-induced variance.",0,0,0,0,p8: OLS (probably),1,0,0,0,0.35699999999999998,80,2006,US,1998.5,"US1998,5",1,0,0,0,5,0.05,1.55842825,148.01498951314318,7.2911983043829481E-2,0
